route,page_type,index_recommendation,primary_intent,funnel_stage,primary_keyword_theme,location_target,current_title,recommended_title,current_h1,recommended_h1,content_score,conversion_score,action
/404,Utility,noindex (correct),None,-,Page Not Found,-,Page Not Found | Digiwaxx,OK,404,OK,-,-,keep
/answers/can-independent-artists-use-digiwaxx,Answer/FAQ,index,Informational,TOFU,"Can Independent Artists Use Digiwaxx? Yes, Here’s How",National,"Can Independent Artists Use Digiwaxx? Yes, Here’s How | Digiwaxx",OK,Can Independent Artists Use Digiwaxx?,OK,6,4,keep
/answers/do-djs-still-break-records,Answer/FAQ,index,Informational,TOFU,Do DJs Still Break Records in 2026?,National,Do DJs Still Break Records in 2026? | Digiwaxx,OK,Do DJs Still Break Records?,OK,7,4,keep
/answers/does-dj-promotion-still-work,Answer/FAQ,index,Informational,TOFU,Does DJ Promotion Still Work in the Streaming Era?,National,Does DJ Promotion Still Work in the Streaming Era? | Digiwaxx,OK,Does DJ Promotion Still Work?,OK,7,4,keep
/answers/does-music-promotion-work,Answer/FAQ,index,Informational,TOFU,Does Music Promotion Work? An Honest Answer,National,Does Music Promotion Work? An Honest Answer | Digiwaxx,OK,Does Music Promotion Work?,OK,7,4,keep
/answers/does-radio-promotion-still-work,Answer/FAQ,index,Informational,TOFU,Does Radio Promotion Still Work in the Streaming Era?,National,Does Radio Promotion Still Work in the Streaming Era? | Digiwaxx,OK,Does Radio Promotion Still Work?,OK,6,4,keep
/answers/how-club-djs-discover-new-songs,Answer/FAQ,index,Informational,TOFU,How Club DJs Discover New Songs,National,How Club DJs Discover New Songs | Digiwaxx,OK,How Club DJs Discover New Songs,OK,7,4,keep
/answers/how-do-djs-find-new-music,Answer/FAQ,index,Informational,TOFU,"How Do DJs Find New Music? Every Channel, Ranked",National,"How Do DJs Find New Music? Every Channel, Ranked | Digiwaxx",OK,How Do DJs Find New Music?,OK,7,4,keep
/answers/how-long-does-music-promotion-take,Answer/FAQ,index,Informational,TOFU,How Long Does Music Promotion Take to Work? Real Timelines,National,How Long Does Music Promotion Take to Work? Real Timelines | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How Long Does Music Promotion Take?,OK,7,4,improve (title)
/answers/how-many-djs-receive-my-record,Answer/FAQ,index,Informational,TOFU,How Many DJs Receive My Record With Digiwaxx?,National,How Many DJs Receive My Record With Digiwaxx? | Digiwaxx,OK,How Many DJs Receive My Record?,OK,6,4,keep
/answers/how-much-does-music-promotion-cost,Answer/FAQ,index,Informational,TOFU,How Much Does Music Promotion Cost in 2026? Real Numbers,National,How Much Does Music Promotion Cost in 2026? Real Numbers | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How Much Does Music Promotion Cost?,OK,7,4,improve (title)
/answers/how-record-pools-work,Answer/FAQ,index,Informational,TOFU,How Record Pools Work: The DJ Distribution System Explained,National,How Record Pools Work: The DJ Distribution System Explained | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How Record Pools Work,OK,7,4,improve (title)
/answers/is-spotify-playlist-promotion-worth-it,Answer/FAQ,index,Informational,TOFU,Is Spotify Playlist Promotion Worth It? An Honest Answer,National,Is Spotify Playlist Promotion Worth It? An Honest Answer | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Is Spotify Playlist Promotion Worth It?,OK,7,4,improve (title)
/answers/should-i-pay-for-music-promotion,Answer/FAQ,index,Informational,TOFU,"Should I Pay for Music Promotion? When Yes, When No",National,"Should I Pay for Music Promotion? When Yes, When No | Digiwaxx",OK,Should I Pay for Music Promotion?,OK,7,4,keep
/answers/what-happens-after-you-submit-music,Answer/FAQ,index,Informational,TOFU,What Happens After You Submit Music to a Record Pool?,National,What Happens After You Submit Music to a Record Pool? | Digiwaxx,OK,What Happens After You Submit Music to a Record Pool,OK,7,4,keep
/answers/what-is-a-record-pool,Answer/FAQ,index,Informational,TOFU,"What Is a Record Pool? Definition, History &amp; Why It Matt",National,"What Is a Record Pool? Definition, History &amp; Why It Matters | Digiwaxx","Trim below 60 chars, keep primary phrase first",What Is a Record Pool?,OK,7,4,improve (title)
/answers/will-promotion-increase-streams,Answer/FAQ,index,Informational,TOFU,Will Music Promotion Increase My Streams? The Honest Mechani,National,Will Music Promotion Increase My Streams? The Honest Mechanics | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Will Promotion Increase My Streams?,OK,6,4,improve (title)
/campaigns/30-day-post-release-sprint,Campaign template,index,Informational/Commercial,MOFU,The 30-Day Post-Release Sprint: Revive a Released Record,National,The 30-Day Post-Release Sprint: Revive a Released Record | Digiwaxx,"Trim below 60 chars, keep primary phrase first",The 30-Day Post-Release Sprint,OK,7,5,improve (title)
/campaigns/60-day-release-plan,Campaign template,index,Informational/Commercial,MOFU,The 60-Day Release Plan: A Complete Campaign You Can Launch ,National,The 60-Day Release Plan: A Complete Campaign You Can Launch Today | Digiwaxx,"Trim below 60 chars, keep primary phrase first",The 60-Day Release Plan,OK,7,5,improve (title)
/campaigns/90-day-new-artist-launch,Campaign template,index,Informational/Commercial,MOFU,The 90-Day New Artist Launch Plan,National,The 90-Day New Artist Launch Plan | Digiwaxx,OK,The 90-Day New Artist Launch,OK,7,5,keep
/campaigns/club-record-campaign,Campaign template,index,Informational/Commercial,MOFU,The Club Record Campaign: From Serviced to Spinning,National,The Club Record Campaign: From Serviced to Spinning | Digiwaxx,OK,The Club Record Campaign,OK,7,5,keep
